ID,s1_wav,s2_wav,mix_wav,s1_class,s2_class
1,/iitjhome/m23mac003/VOX2/id00017/tIpW24N_Ysk/00194.wav,/iitjhome/m23mac003/VOX2/id00061/mMOd25Ag7XY/00239.wav,/iitjhome/m23mac003/TRAIN_MIX/1.wav,0,1
2,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00170.wav,/iitjhome/m23mac003/VOX2/id00061/4kSyBHethpE/00032.wav,/iitjhome/m23mac003/TRAIN_MIX/2.wav,0,1
3,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00160.wav,/iitjhome/m23mac003/VOX2/id00081/wAAMEC1OsRc/00259.wav,/iitjhome/m23mac003/TRAIN_MIX/3.wav,0,2
4,/iitjhome/m23mac003/VOX2/id00017/gjYcaCzo7UU/00108.wav,/iitjhome/m23mac003/VOX2/id00081/EvCyt2keqW4/00069.wav,/iitjhome/m23mac003/TRAIN_MIX/4.wav,0,2
5,/iitjhome/m23mac003/VOX2/id00017/U7PMtQkYWo8/00064.wav,/iitjhome/m23mac003/VOX2/id00154/V6iCAyc7AX4/00121.wav,/iitjhome/m23mac003/TRAIN_MIX/5.wav,0,3
6,/iitjhome/m23mac003/VOX2/id00017/gjYcaCzo7UU/00109.wav,/iitjhome/m23mac003/VOX2/id00154/V6iCAyc7AX4/00122.wav,/iitjhome/m23mac003/TRAIN_MIX/6.wav,0,3
7,/iitjhome/m23mac003/VOX2/id00017/iJOjkDq6rW8/00124.wav,/iitjhome/m23mac003/VOX2/id00419/JrsTFWiOOk8/00164.wav,/iitjhome/m23mac003/TRAIN_MIX/7.wav,0,4
8,/iitjhome/m23mac003/VOX2/id00017/iJOjkDq6rW8/00125.wav,/iitjhome/m23mac003/VOX2/id00419/SoEd575l4LM/00237.wav,/iitjhome/m23mac003/TRAIN_MIX/8.wav,0,4
9,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00179.wav,/iitjhome/m23mac003/VOX2/id00562/2KLM0Lact6A/00020.wav,/iitjhome/m23mac003/TRAIN_MIX/9.wav,0,5
10,/iitjhome/m23mac003/VOX2/id00017/U7PMtQkYWo8/00056.wav,/iitjhome/m23mac003/VOX2/id00562/WZITHPYTdmo/00123.wav,/iitjhome/m23mac003/TRAIN_MIX/10.wav,0,5
11,/iitjhome/m23mac003/VOX2/id00017/b5TvWN3x0HA/00098.wav,/iitjhome/m23mac003/VOX2/id00812/sDHQr_8eQ5k/00360.wav,/iitjhome/m23mac003/TRAIN_MIX/11.wav,0,6
12,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00140.wav,/iitjhome/m23mac003/VOX2/id00812/COWfGElL6aU/00074.wav,/iitjhome/m23mac003/TRAIN_MIX/12.wav,0,6
13,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00153.wav,/iitjhome/m23mac003/VOX2/id00817/EPPT9urr8Ew/00100.wav,/iitjhome/m23mac003/TRAIN_MIX/13.wav,0,7
14,/iitjhome/m23mac003/VOX2/id00017/iJOjkDq6rW8/00119.wav,/iitjhome/m23mac003/VOX2/id00817/z8Iqw7K9vps/00430.wav,/iitjhome/m23mac003/TRAIN_MIX/14.wav,0,7
15,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00146.wav,/iitjhome/m23mac003/VOX2/id00866/4wuP1StGqIA/00065.wav,/iitjhome/m23mac003/TRAIN_MIX/15.wav,0,8
16,/iitjhome/m23mac003/VOX2/id00017/gjYcaCzo7UU/00107.wav,/iitjhome/m23mac003/VOX2/id00866/elkWF8bW3Mc/00212.wav,/iitjhome/m23mac003/TRAIN_MIX/16.wav,0,8
17,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00171.wav,/iitjhome/m23mac003/VOX2/id00926/7vaWI83MpHU/00011.wav,/iitjhome/m23mac003/TRAIN_MIX/17.wav,0,9
18,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00172.wav,/iitjhome/m23mac003/VOX2/id00926/bJNDPEKjpUs/00095.wav,/iitjhome/m23mac003/TRAIN_MIX/18.wav,0,9
19,/iitjhome/m23mac003/VOX2/id00017/gjYcaCzo7UU/00111.wav,/iitjhome/m23mac003/VOX2/id01000/xjC2r6OXgBo/00149.wav,/iitjhome/m23mac003/TRAIN_MIX/19.wav,0,10
20,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00154.wav,/iitjhome/m23mac003/VOX2/id01000/RvjbLfo3XDM/00056.wav,/iitjhome/m23mac003/TRAIN_MIX/20.wav,0,10
21,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00164.wav,/iitjhome/m23mac003/VOX2/id01041/eMRxqsB3ghc/00361.wav,/iitjhome/m23mac003/TRAIN_MIX/21.wav,0,11
22,/iitjhome/m23mac003/VOX2/id00017/U7PMtQkYWo8/00067.wav,/iitjhome/m23mac003/VOX2/id01041/YAZuSHvwVC0/00343.wav,/iitjhome/m23mac003/TRAIN_MIX/22.wav,0,11
23,/iitjhome/m23mac003/VOX2/id00017/7t6lfzvVaTM/00006.wav,/iitjhome/m23mac003/VOX2/id01066/qs3jOc7tXoo/00243.wav,/iitjhome/m23mac003/TRAIN_MIX/23.wav,0,12
24,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00143.wav,/iitjhome/m23mac003/VOX2/id01066/ogMoCjkwuoo/00232.wav,/iitjhome/m23mac003/TRAIN_MIX/24.wav,0,12
25,/iitjhome/m23mac003/VOX2/id00017/gjYcaCzo7UU/00108.wav,/iitjhome/m23mac003/VOX2/id01106/hHqH5EAcVLE/00294.wav,/iitjhome/m23mac003/TRAIN_MIX/25.wav,0,13
26,/iitjhome/m23mac003/VOX2/id00017/wrB-yyERH2s/00199.wav,/iitjhome/m23mac003/VOX2/id01106/MSOyYr8SLMo/00117.wav,/iitjhome/m23mac003/TRAIN_MIX/26.wav,0,13
27,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00167.wav,/iitjhome/m23mac003/VOX2/id01224/OuiiFzr1LaI/00152.wav,/iitjhome/m23mac003/TRAIN_MIX/27.wav,0,14
28,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00161.wav,/iitjhome/m23mac003/VOX2/id01224/ROhzjqDK6XM/00156.wav,/iitjhome/m23mac003/TRAIN_MIX/28.wav,0,14
29,/iitjhome/m23mac003/VOX2/id00017/X9M79aB1RS4/00094.wav,/iitjhome/m23mac003/VOX2/id01228/ITBk58yOpCM/00158.wav,/iitjhome/m23mac003/TRAIN_MIX/29.wav,0,15
30,/iitjhome/m23mac003/VOX2/id00017/b5TvWN3x0HA/00098.wav,/iitjhome/m23mac003/VOX2/id01228/wmWLkJeR_vI/00359.wav,/iitjhome/m23mac003/TRAIN_MIX/30.wav,0,15
31,/iitjhome/m23mac003/VOX2/id00017/OLguY5ofUrY/00047.wav,/iitjhome/m23mac003/VOX2/id01298/xv4IT9v17l4/00468.wav,/iitjhome/m23mac003/TRAIN_MIX/31.wav,0,16
32,/iitjhome/m23mac003/VOX2/id00017/KtadqxztRBk/00031.wav,/iitjhome/m23mac003/VOX2/id01298/oCRfIciXOPs/00356.wav,/iitjhome/m23mac003/TRAIN_MIX/32.wav,0,16
33,/iitjhome/m23mac003/VOX2/id00017/b5TvWN3x0HA/00097.wav,/iitjhome/m23mac003/VOX2/id01333/dfwcAIHRA7o/00361.wav,/iitjhome/m23mac003/TRAIN_MIX/33.wav,0,17
34,/iitjhome/m23mac003/VOX2/id00017/gjYcaCzo7UU/00112.wav,/iitjhome/m23mac003/VOX2/id01333/4iv48rM2Qk8/00036.wav,/iitjhome/m23mac003/TRAIN_MIX/34.wav,0,17
35,/iitjhome/m23mac003/VOX2/id00017/iJOjkDq6rW8/00129.wav,/iitjhome/m23mac003/VOX2/id01437/uFPYqotT7tU/00235.wav,/iitjhome/m23mac003/TRAIN_MIX/35.wav,0,18
36,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00178.wav,/iitjhome/m23mac003/VOX2/id01437/PCNF3ILaFRE/00124.wav,/iitjhome/m23mac003/TRAIN_MIX/36.wav,0,18
37,/iitjhome/m23mac003/VOX2/id00017/gjYcaCzo7UU/00108.wav,/iitjhome/m23mac003/VOX2/id01460/Jib6MuNwg7Y/00128.wav,/iitjhome/m23mac003/TRAIN_MIX/37.wav,0,19
38,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00169.wav,/iitjhome/m23mac003/VOX2/id01460/RqQtGM3RHD8/00160.wav,/iitjhome/m23mac003/TRAIN_MIX/38.wav,0,19
39,/iitjhome/m23mac003/VOX2/id00017/OLguY5ofUrY/00050.wav,/iitjhome/m23mac003/VOX2/id01509/7_9y51g2oc8/00078.wav,/iitjhome/m23mac003/TRAIN_MIX/39.wav,0,20
40,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00157.wav,/iitjhome/m23mac003/VOX2/id01509/FkbEDXgnNiw/00143.wav,/iitjhome/m23mac003/TRAIN_MIX/40.wav,0,20
41,/iitjhome/m23mac003/VOX2/id00017/SFR_KWObD3o/00053.wav,/iitjhome/m23mac003/VOX2/id01541/c1hLduV1p88/00171.wav,/iitjhome/m23mac003/TRAIN_MIX/41.wav,0,21
42,/iitjhome/m23mac003/VOX2/id00017/OLguY5ofUrY/00042.wav,/iitjhome/m23mac003/VOX2/id01541/ENBujKiRYA4/00077.wav,/iitjhome/m23mac003/TRAIN_MIX/42.wav,0,21
43,/iitjhome/m23mac003/VOX2/id00017/kN2iEvnTHc4/00131.wav,/iitjhome/m23mac003/VOX2/id01567/OwFvw40bhGo/00211.wav,/iitjhome/m23mac003/TRAIN_MIX/43.wav,0,22
44,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00161.wav,/iitjhome/m23mac003/VOX2/id01567/x08Blryh5SM/00487.wav,/iitjhome/m23mac003/TRAIN_MIX/44.wav,0,22
45,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00177.wav,/iitjhome/m23mac003/VOX2/id01593/LATCEPO5BvA/00251.wav,/iitjhome/m23mac003/TRAIN_MIX/45.wav,0,23
